workerid,Item,response
180,rolled shopping carts,8
180,stuck to the wall baseballs,8
180,got stained white shirts,7
180,laughed kids,9
180,blew away hats,7
180,stuck stickers,11
180,decomposed pinecones,9
180,ran out of batteries bike lights,11
180,were green strawberries,8
180,melted crayons,10
180,ate the seeds dogs,9
180,stopped cars,7
180,beeped old cars,10
180,landed flat coins,6
180,honked bus drivers,11
180,sank marbles,7
180,popped bubbles,11
180,fell down shelves,5
180,ripped shoes,8
180,lit up flashlights,8
180,burnt books,15
180,exploded fireworks,10
180,flashed phones,10
180,exploded CDs,9
180,dissolved sugar cubes,11
180,broke sunglasses,12
180,froze bottles of hand soap,11
180,reflected the sunlight mirrors,12
180,had the letter Z in them love notes,12
180,rhymed poems,12
181,flashed phones,7
181,exploded fireworks,14
181,honked bicyclists,11
181,laughed kids,14
181,had the letter Z in them love notes,6
181,got stained white carpets,15
181,fell down card towers,15
181,landed flat coins,15
181,decomposed pinecones,10
181,rolled shopping carts,15
181,were green bananas,8
181,exploded eggs,1
181,reflected the sunlight mirrors,15
181,ran out of batteries phones,4
181,melted pencils,0
181,lit up computers,6
181,burnt books,4
181,broke logs,8
181,stuck stickers,11
181,ate the seeds dogs,10
181,ripped books,12
181,beeped old cars,0
181,sank cups,11
181,stuck to the wall baseballs,1
181,popped bubbles,15
181,froze bottles of hand soap,0
181,dissolved oreos,3
181,stopped bicycles,15
181,blew away backpacks,2
181,rhymed songs,10
182,stuck sequins,13
182,rolled wheelchairs,14
182,ate the seeds birds,12
182,had the letter Z in them novels,15
182,dissolved sugar cubes,14
182,fell down block towers,15
182,sank balloons,1
182,stopped cars,15
182,popped balloons,15
182,froze bottles of hand soap,8
182,broke sunglasses,12
182,landed flat pancakes,8
182,got stained white carpets,13
182,beeped houses,8
182,ripped books,15
182,blew away napkins,13
182,burnt rocks,15
182,exploded eggs,10
182,melted pencils,5
182,decomposed banana peels,10
182,exploded gas tanks,15
182,laughed lawyers,10
182,lit up flashlights,12
182,stuck to the wall pieces of gum,7
182,ran out of batteries bike lights,15
182,were green clovers,15
182,flashed cameras,11
182,reflected the sunlight mirrors,13
182,honked bus drivers,13
182,rhymed limericks,10
183,stuck to the wall pieces of gum,0
183,stuck beads,9
183,fell down shelves,2
183,were green bananas,5
183,rhymed limericks,15
183,reflected the sunlight mirrors,15
183,laughed lawyers,3
183,ripped shirts,13
183,ate the seeds birds,9
183,rolled shopping carts,15
183,dissolved sugar cubes,15
183,had the letter Z in them novels,14
183,honked bus drivers,15
183,sank cups,6
183,stopped motorcycles,15
183,exploded CDs,15
183,broke logs,1
183,exploded fireworks,14
183,burnt matches,15
183,froze berries,15
183,popped eggs,0
183,beeped new cars,3
183,flashed phones,11
183,ran out of batteries phones,14
183,landed flat notebooks,15
183,melted pencils,0
183,lit up computers,15
183,blew away backpacks,0
183,got stained white tablecloths,15
183,decomposed banana peels,14
184,melted pencils,0
184,reflected the sunlight mirrors,15
184,exploded candles,0
184,dissolved carrots,0
184,ate the seeds butterflies,15
184,rolled wheelchairs,15
184,popped balloons,10
184,rhymed songs,11
184,decomposed soda cans,0
184,exploded balls of tin foil,0
184,lit up cd-players,14
184,stopped motorcycles,15
184,laughed lawyers,1
184,got stained white tablecloths,15
184,were green bananas,11
184,flashed cameras,12
184,burnt rocks,0
184,ripped shoes,8
184,honked bicyclists,0
184,sank marbles,15
184,stuck to the wall cakes,4
184,landed flat notebooks,13
184,ran out of batteries laptops,14
184,blew away napkins,15
184,stuck stickers,15
184,broke sunglasses,15
184,beeped old cars,6
184,froze chocolate bars,15
184,fell down shelves,7
184,had the letter Z in them love notes,8
185,burnt books,15
185,melted pencils,0
185,stopped motorcycles,10
185,fell down block towers,12
185,were green clovers,15
185,honked bus drivers,12
185,ripped books,15
185,stuck to the wall baseballs,0
185,blew away backpacks,7
185,stuck sequins,13
185,laughed comedians,8
185,froze chocolate bars,15
185,dissolved sugar cubes,15
185,beeped new cars,5
185,reflected the sunlight phone screens,15
185,broke boxes,11
185,rhymed songs,7
185,landed flat notebooks,15
185,lit up flashlights,15
185,exploded CDs,13
185,rolled toy cars,15
185,sank cups,15
185,got stained white shirts,15
185,ate the seeds dogs,11
185,had the letter Z in them love notes,3
185,popped balloons,15
185,exploded gas tanks,15
185,decomposed banana peels,15
185,ran out of batteries phones,9
185,flashed cameras,13
186,ran out of batteries laptops,15
186,blew away backpacks,5
186,flashed phones,2
186,had the letter Z in them novels,15
186,dissolved oreos,15
186,burnt matches,15
186,decomposed soda cans,0
186,stopped cars,15
186,beeped new cars,7
186,sank cups,3
186,lit up cd-players,15
186,broke boxes,15
186,exploded candles,0
186,popped balloons,15
186,rolled wheelchairs,10
186,were green strawberries,1
186,got stained white tablecloths,15
186,honked taxi drivers,15
186,stuck to the wall cakes,15
186,froze bottles of hand soap,0
186,reflected the sunlight diamonds,15
186,stuck sequins,12
186,exploded eggs,5
186,melted pencils,2
186,landed flat notebooks,15
186,ate the seeds butterflies,10
186,laughed kids,10
186,fell down card towers,15
186,rhymed limericks,15
186,ripped books,15
187,ate the seeds butterflies,12
187,landed flat notebooks,15
187,honked bus drivers,4
187,fell down block towers,15
187,exploded eggs,15
187,exploded gas tanks,13
187,flashed cameras,8
187,decomposed banana peels,15
187,stuck to the wall pieces of gum,10
187,stuck stickers,15
187,reflected the sunlight diamonds,15
187,lit up cd-players,15
187,were green clovers,15
187,got stained white carpets,15
187,laughed kids,11
187,rhymed poems,7
187,blew away hats,12
187,froze bottles of hand soap,5
187,popped eggs,10
187,ripped books,15
187,melted pencils,0
187,dissolved oreos,11
187,beeped houses,0
187,ran out of batteries phones,3
187,stopped bicycles,15
187,had the letter Z in them birthday cards,1
187,rolled wheelchairs,15
187,burnt matches,15
187,sank cups,3
187,broke logs,0
188,broke sunglasses,15
188,exploded fireworks,15
188,burnt books,15
188,stopped cars,15
188,were green clovers,15
188,ate the seeds butterflies,9
188,beeped houses,0
188,reflected the sunlight mirrors,15
188,popped balloons,15
188,ripped shoes,14
188,fell down card towers,15
188,stuck stickers,15
188,froze berries,15
188,laughed lawyers,10
188,lit up computers,15
188,decomposed pinecones,12
188,blew away hats,15
188,landed flat notebooks,15
188,melted crayons,15
188,rolled toy cars,15
188,exploded CDs,0
188,got stained white tablecloths,15
188,had the letter Z in them love notes,11
188,sank cups,0
188,dissolved oreos,0
188,honked bicyclists,0
188,stuck to the wall cakes,12
188,ran out of batteries laptops,15
188,flashed webcams,0
188,rhymed limericks,12
189,fell down shelves,5
189,blew away napkins,15
189,flashed cameras,0
189,honked bus drivers,5
189,exploded fireworks,15
189,ripped shoes,11
189,stuck sequins,15
189,rolled toy cars,15
189,got stained white shirts,14
189,decomposed pinecones,13
189,melted ice cubes,15
189,stuck to the wall baseballs,0
189,beeped new cars,7
189,reflected the sunlight diamonds,15
189,lit up computers,15
189,sank balloons,0
189,rhymed limericks,15
189,landed flat coins,15
189,burnt books,15
189,had the letter Z in them love notes,4
189,exploded eggs,12
189,stopped cars,15
189,dissolved sugar cubes,15
189,ran out of batteries bike lights,10
189,were green strawberries,5
189,laughed kids,12
189,broke boxes,15
189,popped eggs,11
189,ate the seeds birds,12
189,froze berries,14
190,popped bubbles,15
190,rolled toy cars,15
190,rhymed songs,15
190,ripped shirts,15
190,dissolved oreos,15
190,decomposed soda cans,0
190,melted pencils,0
190,stopped cars,15
190,ate the seeds dogs,8
190,were green clovers,14
190,ran out of batteries bike lights,15
190,got stained white tablecloths,15
190,landed flat pancakes,11
190,flashed cameras,8
190,sank marbles,15
190,stuck stickers,15
190,had the letter Z in them novels,15
190,exploded candles,0
190,burnt matches,15
190,honked bicyclists,8
190,stuck to the wall pieces of gum,15
190,fell down shelves,15
190,reflected the sunlight mirrors,15
190,blew away napkins,15
190,lit up computers,14
190,broke sunglasses,15
190,laughed kids,12
190,exploded eggs,15
190,froze bottles of hand soap,15
190,beeped old cars,0
191,honked bicyclists,1
191,exploded fireworks,15
191,melted ice cubes,15
191,reflected the sunlight diamonds,15
191,ripped shoes,6
191,decomposed banana peels,15
191,got stained white carpets,15
191,broke logs,5
191,beeped new cars,8
191,froze chocolate bars,15
191,rolled shopping carts,15
191,were green clovers,15
191,fell down block towers,11
191,stuck stickers,15
191,popped bubbles,15
191,exploded balls of tin foil,11
191,stuck to the wall cakes,4
191,ate the seeds dogs,5
191,landed flat notebooks,8
191,burnt rocks,0
191,lit up computers,15
191,sank cups,5
191,blew away napkins,15
191,stopped motorcycles,15
191,laughed kids,6
191,rhymed poems,4
191,had the letter Z in them birthday cards,1
191,flashed phones,3
191,ran out of batteries phones,15
191,dissolved sugar cubes,15
192,honked bus drivers,11
192,rolled toy cars,10
192,laughed comedians,4
192,burnt matches,15
192,popped bubbles,15
192,landed flat pancakes,15
192,melted crayons,15
192,blew away napkins,15
192,decomposed banana peels,0
192,exploded candles,0
192,ripped shirts,5
192,beeped old cars,4
192,ate the seeds birds,15
192,stopped motorcycles,15
192,fell down shelves,12
192,lit up cd-players,15
192,broke boxes,15
192,stuck to the wall cakes,7
192,got stained white shirts,14
192,exploded CDs,14
192,flashed cameras,15
192,reflected the sunlight phone screens,15
192,rhymed limericks,4
192,were green bananas,8
192,sank marbles,15
192,had the letter Z in them novels,2
192,stuck beads,7
192,froze chocolate bars,15
192,ran out of batteries bike lights,15
192,dissolved oreos,3
193,fell down card towers,15
193,beeped new cars,11
193,sank balloons,0
193,ate the seeds birds,5
193,stuck to the wall pieces of gum,4
193,exploded candles,0
193,froze bottles of hand soap,3
193,exploded eggs,11
193,laughed comedians,5
193,ripped books,15
193,melted crayons,15
193,decomposed pinecones,11
193,stopped cars,14
193,landed flat notebooks,3
193,burnt rocks,0
193,had the letter Z in them birthday cards,3
193,broke logs,4
193,flashed cameras,8
193,reflected the sunlight diamonds,15
193,rhymed limericks,11
193,were green bananas,4
193,lit up flashlights,4
193,honked bicyclists,1
193,stuck sequins,12
193,popped eggs,9
193,rolled wheelchairs,15
193,got stained white carpets,15
193,blew away backpacks,4
193,ran out of batteries bike lights,14
193,dissolved sugar cubes,15
194,sank marbles,15
194,honked bus drivers,10
194,beeped old cars,2
194,ran out of batteries phones,5
194,stopped motorcycles,15
194,exploded fireworks,15
194,rhymed poems,5
194,ripped shirts,13
194,melted ice cubes,15
194,reflected the sunlight diamonds,15
194,flashed cameras,14
194,dissolved sugar cubes,15
194,stuck to the wall cakes,12
194,were green bananas,5
194,landed flat notebooks,12
194,blew away hats,14
194,fell down block towers,15
194,had the letter Z in them love notes,0
194,lit up cd-players,13
194,exploded eggs,12
194,burnt books,15
194,rolled wheelchairs,15
194,stuck sequins,15
194,decomposed banana peels,15
194,popped bubbles,15
194,froze bottles of hand soap,15
194,got stained white carpets,15
194,laughed comedians,14
194,broke sunglasses,15
194,ate the seeds dogs,1
195,were green strawberries,0
195,laughed lawyers,12
195,burnt matches,15
195,ate the seeds butterflies,10
195,broke sunglasses,14
195,sank balloons,1
195,exploded CDs,4
195,melted pencils,0
195,lit up cd-players,14
195,blew away hats,10
195,fell down shelves,4
195,rhymed poems,8
195,decomposed banana peels,15
195,had the letter Z in them birthday cards,3
195,dissolved oreos,12
195,beeped old cars,2
195,stuck sequins,15
195,popped eggs,14
195,ran out of batteries bike lights,15
195,flashed cameras,8
195,got stained white tablecloths,15
195,honked bicyclists,0
195,rolled toy cars,15
195,landed flat coins,15
195,stuck to the wall cakes,2
195,ripped shirts,4
195,reflected the sunlight phone screens,10
195,stopped cars,15
195,exploded gas tanks,3
195,froze berries,15
196,ate the seeds butterflies,15
196,rolled toy cars,15
196,honked taxi drivers,15
196,stuck stickers,15
196,popped eggs,15
196,dissolved sugar cubes,15
196,flashed cameras,15
196,lit up computers,15
196,landed flat pancakes,15
196,exploded candles,15
196,sank balloons,15
196,stuck to the wall pieces of gum,15
196,exploded eggs,15
196,ran out of batteries laptops,15
196,reflected the sunlight diamonds,15
196,laughed lawyers,15
196,had the letter Z in them love notes,15
196,stopped cars,15
196,decomposed banana peels,15
196,blew away backpacks,15
196,burnt books,15
196,were green strawberries,15
196,melted pencils,15
196,rhymed poems,11
196,froze chocolate bars,8
196,got stained white shirts,13
196,broke boxes,15
196,ripped shirts,10
196,fell down card towers,12
196,beeped houses,12
197,beeped houses,0
197,broke boxes,13
197,flashed cameras,13
197,reflected the sunlight diamonds,15
197,exploded balls of tin foil,15
197,ran out of batteries laptops,12
197,exploded gas tanks,15
197,had the letter Z in them love notes,2
197,rhymed poems,13
197,stopped bicycles,14
197,lit up flashlights,11
197,ate the seeds dogs,10
197,rolled wheelchairs,15
197,blew away hats,13
197,were green clovers,15
197,stuck stickers,14
197,melted ice cubes,15
197,honked bus drivers,11
197,dissolved carrots,0
197,stuck to the wall pieces of gum,8
197,sank cups,10
197,popped bubbles,14
197,burnt books,15
197,decomposed pinecones,13
197,ripped shoes,9
197,froze bottles of hand soap,15
197,fell down block towers,14
197,laughed lawyers,11
197,landed flat notebooks,13
197,got stained white carpets,15
198,stuck to the wall baseballs,0
198,ripped shoes,15
198,burnt rocks,13
198,flashed phones,13
198,lit up cd-players,15
198,got stained white carpets,15
198,sank balloons,0
198,rolled wheelchairs,15
198,stopped motorcycles,15
198,broke logs,14
198,ate the seeds birds,15
198,rhymed limericks,12
198,honked bus drivers,8
198,exploded eggs,13
198,laughed kids,7
198,had the letter Z in them love notes,10
198,exploded candles,0
198,stuck sequins,14
198,blew away napkins,14
198,popped balloons,15
198,froze berries,15
198,dissolved carrots,0
198,beeped old cars,14
198,decomposed soda cans,0
198,were green strawberries,2
198,melted crayons,9
198,reflected the sunlight diamonds,15
198,ran out of batteries bike lights,15
198,landed flat coins,15
198,fell down block towers,15
199,ate the seeds dogs,1
199,beeped houses,0
199,were green clovers,15
199,exploded eggs,6
199,got stained white tablecloths,15
199,lit up computers,15
199,ran out of batteries bike lights,15
199,had the letter Z in them birthday cards,0
199,burnt rocks,0
199,froze chocolate bars,15
199,melted pencils,0
199,sank cups,12
199,reflected the sunlight mirrors,15
199,fell down shelves,8
199,stopped motorcycles,0
199,landed flat notebooks,15
199,ripped shoes,15
199,stuck to the wall pieces of gum,15
199,dissolved oreos,15
199,exploded candles,0
199,decomposed soda cans,14
199,honked taxi drivers,15
199,rolled wheelchairs,15
199,broke logs,15
199,blew away hats,10
199,flashed phones,8
199,popped bubbles,15
199,rhymed poems,10
199,laughed comedians,8
199,stuck stickers,15
200,sank marbles,15
200,popped balloons,15
200,lit up flashlights,11
200,had the letter Z in them birthday cards,1
200,ripped shirts,11
200,stuck sequins,9
200,laughed comedians,5
200,ate the seeds butterflies,3
200,rhymed limericks,8
200,ran out of batteries laptops,15
200,flashed cameras,4
200,burnt books,15
200,stopped bicycles,15
200,landed flat pancakes,13
200,decomposed pinecones,15
200,got stained white tablecloths,15
200,exploded fireworks,10
200,blew away backpacks,6
200,melted crayons,15
200,dissolved carrots,0
200,fell down card towers,14
200,beeped new cars,5
200,rolled shopping carts,12
200,froze berries,15
200,exploded balls of tin foil,15
200,reflected the sunlight diamonds,15
200,honked taxi drivers,14
200,stuck to the wall baseballs,0
200,broke logs,0
200,were green clovers,15
201,beeped new cars,0
201,dissolved oreos,15
201,honked bicyclists,0
201,flashed webcams,15
201,popped eggs,2
201,blew away napkins,15
201,burnt books,15
201,sank cups,0
201,exploded eggs,7
201,broke logs,0
201,ate the seeds butterflies,14
201,lit up cd-players,1
201,had the letter Z in them love notes,15
201,melted ice cubes,15
201,landed flat coins,2
201,were green bananas,12
201,decomposed soda cans,0
201,ripped shoes,8
201,froze chocolate bars,15
201,stopped motorcycles,0
201,rolled shopping carts,15
201,ran out of batteries bike lights,11
201,exploded fireworks,15
201,stuck beads,15
201,stuck to the wall baseballs,15
201,rhymed songs,12
201,laughed comedians,8
201,fell down block towers,0
201,got stained white carpets,15
201,reflected the sunlight mirrors,15
202,reflected the sunlight phone screens,12
202,sank balloons,0
202,broke logs,8
202,rolled shopping carts,15
202,ran out of batteries phones,12
202,ripped shoes,12
202,blew away hats,11
202,burnt matches,15
202,stuck to the wall pieces of gum,13
202,honked taxi drivers,10
202,lit up computers,15
202,froze berries,15
202,popped eggs,14
202,stuck beads,13
202,got stained white tablecloths,6
202,beeped new cars,3
202,were green strawberries,1
202,flashed webcams,0
202,fell down shelves,9
202,decomposed banana peels,15
202,stopped motorcycles,15
202,exploded gas tanks,15
202,had the letter Z in them love notes,8
202,exploded balls of tin foil,15
202,melted pencils,15
202,dissolved carrots,0
202,rhymed limericks,13
202,laughed lawyers,9
202,ate the seeds birds,10
202,landed flat pancakes,15
203,exploded CDs,0
203,sank marbles,15
203,lit up computers,14
203,burnt books,15
203,exploded fireworks,11
203,beeped houses,2
203,got stained white shirts,14
203,honked bicyclists,1
203,rhymed songs,4
203,flashed cameras,7
203,laughed kids,9
203,decomposed soda cans,0
203,stopped bicycles,13
203,stuck to the wall pieces of gum,8
203,popped bubbles,13
203,ran out of batteries bike lights,7
203,melted crayons,6
203,ripped shirts,12
203,rolled shopping carts,15
203,broke boxes,15
203,stuck beads,10
203,landed flat coins,14
203,dissolved sugar cubes,15
203,ate the seeds butterflies,8
203,fell down card towers,15
203,were green bananas,8
203,reflected the sunlight diamonds,12
203,had the letter Z in them birthday cards,3
203,froze berries,15
203,blew away napkins,12
204,honked bicyclists,5
204,stuck to the wall baseballs,0
204,fell down block towers,15
204,ran out of batteries bike lights,13
204,were green bananas,4
204,lit up computers,13
204,sank marbles,15
204,reflected the sunlight diamonds,15
204,ripped shoes,11
204,stuck sequins,14
204,melted pencils,3
204,burnt rocks,3
204,broke boxes,15
204,exploded eggs,15
204,froze berries,15
204,popped balloons,15
204,laughed kids,10
204,dissolved sugar cubes,13
204,landed flat notebooks,15
204,got stained white carpets,15
204,beeped houses,5
204,decomposed pinecones,15
204,ate the seeds butterflies,13
204,blew away backpacks,6
204,flashed phones,7
204,had the letter Z in them birthday cards,2
204,rhymed songs,10
204,exploded gas tanks,12
204,stopped bicycles,14
204,rolled shopping carts,14
205,rhymed songs,2
205,froze berries,15
205,burnt rocks,0
205,lit up flashlights,15
205,honked bicyclists,0
205,reflected the sunlight phone screens,15
205,got stained white carpets,15
205,were green clovers,15
205,ripped shirts,15
205,sank marbles,15
205,stuck to the wall cakes,0
205,had the letter Z in them birthday cards,1
205,dissolved sugar cubes,15
205,melted crayons,13
205,broke sunglasses,15
205,fell down block towers,15
205,exploded fireworks,12
205,ate the seeds butterflies,0
205,exploded CDs,0
205,blew away hats,8
205,decomposed soda cans,0
205,stuck stickers,15
205,ran out of batteries bike lights,15
205,popped bubbles,15
205,laughed lawyers,13
205,stopped cars,15
205,beeped old cars,2
205,rolled shopping carts,15
205,flashed phones,10
205,landed flat coins,15
206,froze chocolate bars,15
206,beeped old cars,0
206,dissolved carrots,0
206,stuck to the wall pieces of gum,3
206,broke logs,11
206,landed flat coins,15
206,melted pencils,0
206,rolled toy cars,15
206,ripped shoes,15
206,were green clovers,14
206,ate the seeds birds,15
206,decomposed banana peels,15
206,honked bus drivers,15
206,lit up computers,15
206,flashed phones,7
206,laughed comedians,9
206,exploded fireworks,15
206,fell down shelves,8
206,had the letter Z in them birthday cards,2
206,stopped motorcycles,14
206,stuck stickers,13
206,ran out of batteries laptops,14
206,exploded CDs,0
206,blew away hats,12
206,burnt books,15
206,popped eggs,15
206,rhymed songs,5
206,reflected the sunlight phone screens,15
206,got stained white shirts,15
206,sank cups,0
207,rolled toy cars,15
207,fell down block towers,15
207,had the letter Z in them birthday cards,4
207,ate the seeds birds,3
207,decomposed pinecones,0
207,landed flat notebooks,13
207,sank marbles,15
207,stopped bicycles,15
207,stuck stickers,15
207,dissolved oreos,15
207,froze bottles of hand soap,15
207,lit up cd-players,15
207,got stained white tablecloths,15
207,melted ice cubes,15
207,beeped old cars,0
207,stuck to the wall baseballs,0
207,blew away backpacks,1
207,reflected the sunlight mirrors,15
207,were green bananas,3
207,popped bubbles,15
207,burnt matches,15
207,broke logs,0
207,flashed webcams,2
207,rhymed songs,13
207,exploded candles,0
207,laughed lawyers,11
207,honked taxi drivers,9
207,ran out of batteries laptops,15
207,exploded eggs,11
207,ripped books,15
208,were green strawberries,0
208,stopped motorcycles,1
208,laughed comedians,0
208,exploded balls of tin foil,1
208,flashed phones,0
208,burnt books,15
208,had the letter Z in them birthday cards,0
208,ran out of batteries phones,0
208,decomposed soda cans,0
208,popped bubbles,15
208,dissolved sugar cubes,15
208,got stained white tablecloths,1
208,reflected the sunlight diamonds,0
208,rhymed poems,0
208,broke logs,0
208,blew away backpacks,0
208,landed flat coins,0
208,fell down shelves,0
208,rolled wheelchairs,1
208,melted crayons,1
208,sank marbles,1
208,stuck to the wall baseballs,2
208,ripped shirts,2
208,froze berries,2
208,honked bicyclists,3
208,exploded fireworks,3
208,ate the seeds dogs,3
208,stuck beads,3
208,lit up cd-players,3
208,beeped new cars,8
209,lit up cd-players,15
209,popped eggs,11
209,flashed webcams,15
209,stuck to the wall pieces of gum,5
209,rolled shopping carts,13
209,reflected the sunlight phone screens,15
209,dissolved sugar cubes,15
209,rhymed songs,6
209,honked bicyclists,9
209,melted crayons,15
209,stuck beads,12
209,decomposed banana peels,15
209,had the letter Z in them birthday cards,6
209,ripped shirts,14
209,stopped cars,15
209,exploded CDs,14
209,burnt matches,15
209,ran out of batteries laptops,15
209,landed flat pancakes,13
209,sank marbles,15
209,broke boxes,15
209,exploded candles,1
209,beeped old cars,1
209,were green strawberries,0
209,laughed lawyers,9
209,froze berries,15
209,blew away hats,7
209,ate the seeds birds,13
209,fell down block towers,13
209,got stained white carpets,15
210,laughed lawyers,8
210,lit up cd-players,15
210,froze berries,15
210,blew away backpacks,2
210,rhymed limericks,15
210,beeped new cars,15
210,burnt rocks,0
210,stuck to the wall baseballs,0
210,melted pencils,0
210,landed flat notebooks,12
210,exploded balls of tin foil,15
210,popped eggs,0
210,reflected the sunlight diamonds,15
210,flashed cameras,15
210,ran out of batteries laptops,15
210,exploded gas tanks,15
210,honked bicyclists,0
210,were green strawberries,7
210,fell down card towers,15
210,stopped cars,8
210,ate the seeds birds,15
210,rolled wheelchairs,15
210,got stained white carpets,15
210,broke boxes,15
210,dissolved oreos,15
210,sank cups,7
210,ripped books,15
210,had the letter Z in them love notes,2
210,decomposed soda cans,0
210,stuck stickers,15
211,exploded eggs,15
211,flashed phones,11
211,blew away hats,15
211,fell down shelves,4
211,burnt books,14
211,rhymed limericks,15
211,popped bubbles,15
211,had the letter Z in them birthday cards,2
211,broke logs,3
211,stuck to the wall pieces of gum,2
211,ran out of batteries phones,9
211,reflected the sunlight diamonds,15
211,were green strawberries,3
211,ripped books,5
211,froze bottles of hand soap,0
211,decomposed soda cans,0
211,sank cups,6
211,rolled shopping carts,15
211,exploded fireworks,14
211,landed flat pancakes,9
211,lit up computers,15
211,beeped new cars,9
211,melted crayons,15
211,laughed comedians,5
211,dissolved carrots,0
211,stopped bicycles,15
211,ate the seeds dogs,0
211,honked bus drivers,13
211,stuck stickers,15
211,got stained white shirts,15
212,froze bottles of hand soap,15
212,rolled shopping carts,0
212,decomposed banana peels,15
212,broke boxes,10
212,landed flat coins,15
212,had the letter Z in them birthday cards,0
212,ripped shoes,10
212,laughed lawyers,10
212,exploded CDs,15
212,got stained white carpets,15
212,were green strawberries,0
212,popped bubbles,12
212,stopped cars,15
212,fell down shelves,4
212,honked taxi drivers,9
212,flashed webcams,0
212,beeped houses,0
212,ran out of batteries laptops,15
212,stuck to the wall cakes,4
212,lit up flashlights,12
212,melted pencils,0
212,burnt matches,15
212,sank marbles,15
212,ate the seeds dogs,15
212,dissolved sugar cubes,15
212,reflected the sunlight mirrors,15
