workerid,rt,trial_type,actual_utterance,name,object_level,gender,num_objects,object,effect,actual_cause,quantifier,actual_effect_question,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,2088,cause_effect_prior,"""Nothing out of the ordinary.""",Jennifer,object_low,F,6,dogs,ate the seeds,Jennifer left seeds out for  6 dogs.,short_filler,Do you think these are normal dogs?,left seeds out for __,yes,F,3,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1138,cause_effect_prior,"""That&quotechars not very good for the environment.""",Jonathan,object_low,M,9,houses,beeped,Jonathan left the lights on in  9 houses.,long_filler,Do you think these are normal houses?,left the lights on in __,no,F,4,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,857,cause_effect_prior,"""Some of the eggs popped.""",Joshua,object_low,M,6,eggs,popped,Joshua poked  6 eggs  with a pin.,Some,Do you think these are normal eggs?,poked __ with a pin,no,M,5,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1067,cause_effect_prior,"""None of the novels had the letter Z in them.""",Jerry,object_high,M,6,novels,had the letter Z in them,Jerry wrote  6 novels.,None,Do you think these are normal novels?,wrote __,yes,F,6,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1910,cause_effect_prior,"""Some of the limericks rhymed.""",Kimberly,object_high,F,10,limericks,rhymed,Kimberly wrote  10 limericks.,Some,Do you think these are normal limericks?,wrote __,yes,F,7,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,888,cause_effect_prior,"""Pretty normal.""",Jacob,object_mid,M,10,computers,lit up,Jacob pressed the &quotecharon&quotechar button on  10 computers.,short_filler,Do you think these are normal computers?,pressed the &quotecharon&quotechar button on __,no,F,8,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,730,cause_effect_prior,"""Some of the cups sank.""",Patrick,object_mid,M,4,cups,sank,Patrick threw  4 cups  into a pool.,Some,Do you think these are normal cups?,threw __ into a pool,no,F,9,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,768,cause_effect_prior,"""All of the bananas were green.""",Samuel,object_mid,M,9,bananas,were green,Samuel saw  9 bananas.,All,Do you think these are normal bananas?,saw __,yes,F,10,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1081,cause_effect_prior,"""Some of the webcams flashed.""",Christina,object_low,F,6,webcams,flashed,Christina took a picture with  6 webcams.,Some,Do you think these are normal webcams?,took a picture with __,yes,M,11,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,976,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Janet,object_low,F,10,logs,broke,Janet ran  10 logs  over with a car.,long_filler,Do you think these are normal logs?,ran __ over with a car,no,F,12,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,809,cause_effect_prior,"""So many parts need to work for us to not die.""",Brenda,object_high,F,10,cars,stopped,Brenda pressed the brakes on  10 cars.,long_filler,Do you think these are normal cars?,pressed the brakes on __,no,F,13,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1042,cause_effect_prior,"""None of the phone screens reflected the sunlight.""",Michelle,object_low,F,10,phone screens,reflected the sunlight,Michelle placed  10 phone screens  in the sun.,None,Do you think these are normal phone screens?,placed __ in the sun,yes,M,14,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,945,cause_effect_prior,"""All of the shirts ripped.""",Dennis,object_mid,M,7,shirts,ripped,Dennis used  7 shirts  as dog toys.,All,Do you think these are normal shirts?,used __ as dog toys,yes,M,15,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,2766,cause_effect_prior,"""Some of the candles exploded.""",Anna,object_low,F,13,candles,exploded,Anna lit  13 candles.,Some,Do you think these are normal candles?,lit __,no,F,16,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,783,cause_effect_prior,"""As usual.""",Charles,object_mid,M,6,oreos,dissolved,Charles put  6 oreos  in a bucket of water.,short_filler,Do you think these are normal oreos?,put __ in a bucket of water,no,M,17,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1721,cause_effect_prior,"""Some of the bottles of hand soap froze.""",Emily,object_low,F,5,bottles of hand soap,froze,Emily put  5 bottles of hand soap  in the freezer.,Some,Do you think these are normal bottles of hand soap?,put __ in the freezer,yes,M,18,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1457,cause_effect_prior,"""Nothing surprising there.""",Benjamin,object_mid,M,12,sequins,stuck,Benjamin glued  12 sequins  to a piece of paper.,short_filler,Do you think these are normal sequins?,glued __ to a piece of paper,yes,M,19,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,1411,cause_effect_prior,"""None of the pinecones decomposed.""",Alexander,object_mid,M,7,pinecones,decomposed,Alexander put  7 pinecones  in a compost pile for a month.,None,Do you think these are normal pinecones?,put __ in a compost pile for a month,no,F,20,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
0,769,cause_effect_prior,"""Some of the matches burnt.""",Julie,object_high,F,14,matches,burnt,Julie threw  14 matches  into a fire.,Some,Do you think these are normal matches?,threw __ into a fire,no,M,21,English,1,Male,24,,Yes,2,Windows,900,1600,Chrome,311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3L31T0COU81JSRPIOAR5P47YUU2GQJ,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Tue Jun 30 07:19:18 PDT 2015,60,0,6,0,Unassignable,NotReviewed,1 cond,2400,60000,Thu Jul 30 07:19:18 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=311HQEI8RRFPOZ6PPB17Q4DHH5B7Z3,3HYA4D452RIFJ1GD8PV7F5CCWG32F9,0,Submitted,Wed Jul 01 00:06:48 PDT 2015,Tue Jun 30 07:25:36 PDT 2015,Tue Jun 30 07:26:48 PDT 2015,,,,,,[],{},1.1086333333333334
