workerid,rt,trial_type,actual_utterance,name,refexp,gender,num_objects,object,effect,actual_cause,object_level,targetpos,stimtype,slider_id,quantifier,actual_effect_question,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,2016,speakerreliability,NA,NA,robot with the blue hat and the buttons,NA,NA,NA,NA,NA,NA,s2_vx,overinformative,NA,NA,NA,NA,s2_vx,NA,3,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,1795,speakerreliability,NA,NA,green monster with the scarf and the two big teeth,NA,NA,NA,NA,NA,NA,sx_v2,overinformative,NA,NA,NA,NA,sx_v2,NA,4,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,1951,speakerreliability,NA,NA,robot,NA,NA,NA,NA,NA,NA,s1_vx,underinformative,NA,NA,NA,NA,sx_vx,NA,5,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,1451,speakerreliability,NA,NA,purple monster with the red hat who&quotechars grinning sideways,NA,NA,NA,NA,NA,NA,s1_v1,overinformative,NA,NA,NA,NA,s1_v1,NA,6,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,1154,speakerreliability,NA,NA,guy with the red hat,NA,NA,NA,NA,NA,NA,s1_v1,underinformative,NA,NA,NA,NA,s1_v2,NA,7,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,1902,speakerreliability,NA,NA,purple monster,NA,NA,NA,NA,NA,NA,sx_v1,underinformative,NA,NA,NA,NA,sx_v1,NA,8,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,12964,cause_effect_prior,"""Some of the chocolate bars froze.""",Lisa,NA,F,15,chocolate bars,froze,Lisa put  15 chocolate bars  in the freezer.,object_mid,NA,NA,none,Some,How many chocolate bars froze?,put __ in the freezer,0,M,10,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,12964,cause_effect_prior,"""Some of the chocolate bars froze.""",Lisa,NA,F,15,chocolate bars,froze,Lisa put  15 chocolate bars  in the freezer.,object_mid,NA,NA,lower_half,Some,How many chocolate bars froze?,put __ in the freezer,0.87,M,10,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,12964,cause_effect_prior,"""Some of the chocolate bars froze.""",Lisa,NA,F,15,chocolate bars,froze,Lisa put  15 chocolate bars  in the freezer.,object_mid,NA,NA,upper_half,Some,How many chocolate bars froze?,put __ in the freezer,0.45,M,10,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,12964,cause_effect_prior,"""Some of the chocolate bars froze.""",Lisa,NA,F,15,chocolate bars,froze,Lisa put  15 chocolate bars  in the freezer.,object_mid,NA,NA,all,Some,How many chocolate bars froze?,put __ in the freezer,0,M,10,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
